Date;Close;Open;High;Low;VIX ;IV;HV;IV Pctl;1D IV Chg;P/C Vol
18/06/2025;5980.87;5987.93;6018.25;5971.89;20.14;16.29%;27.80%;74%;-0.47%;1.44
20/06/2025;5967.84;5999.67;6018.08;5952.56;20.62;16.31%;27.88%;74%;-0.47%;1.36
23/06/2025;6025.17;5969.67;6028.45;5944.85;19.83;15.16%;24.72%;59%;-1.15%;1.32
24/06/2025;6092.18;6061.21;6101.76;6059.25;17.48;13.66%;20.58%;42%;-1.51%;1.24
25/06/2025;6092.16;6104.23;6108.51;6080.09;16.76;13.55%;20.29%;40%;-0.11%;1.14
26/06/2025;6141.02;6112.09;6146.52;6107.87;16.59;13.02%;11.86%;35%;-0.53%;1.09
27/06/2025;6173.07;6150.7;6187.68;6132.35;16.32;13.29%;12.69%;39%;+0.28%;1.13
30/06/2025;6204.95;6193.36;6215.08;6174.97;16.73;13.34%;12.82%;39%;+0.04%;1.01
01/07/2025;6198.01;6187.25;6210.78;6177.97;16.83;13.74%;14.03%;43%;+0.41%;1.26
02/07/2025;6227.42;6193.88;6227.48;6188.29;16.64;13.82%;14.26%;44%;+0.08%;1.26
03/07/2025;6279.35;6246.46;6284.65;6246.46;16.38;13.29%;12.67%;37%;-0.53%;1.19
07/07/2025;6229.98;6259.04;6262.07;6201;17.79;14.62%;16.64%;52%;+0.65%;1.24
08/07/2025;6225.52;6234.03;6242.7;6217.75;16.81;13.97%;14.70%;44%;-0.65%;1.25
09/07/2025;6263.26;6243.33;6269.16;6231.43;15.94;13.25%;12.57%;36%;-0.71%;1.13
10/07/2025;6280.46;6266.8;6290.22;6252.21;15.78;12.79%;11.19%;29%;-0.46%;1.10
11/07/2025;6259.75;6255.68;6269.44;6237.6;16.4;13.23%;12.50%;35%;+0.44%;1.26
14/07/2025;6268.56;6255.15;6273.31;6239.64;17.2;13.89%;14.48%;43%;+0.67%;1.29
15/07/2025;6243.76;6295.29;6302.04;6242.88;17.38;14.23%;15.49%;47%;+0.34%;1.20
16/07/2025;6263.7;6254.5;6268.12;6202.33;17.16;13.84%;14.31%;42%;-0.39%;1.27
17/07/2025;6297.36;6263.4;6304.69;6262.42;16.52;13.29%;12.68%;35%;-0.55%;1.16
18/07/2025;6296.79;6312.95;6314.2;6285.27;16.41;13.14%;12.23%;32%;-0.15%;1.18
21/07/2025;6305.6;6304.74;6336.08;6303.86;16.65;13.21%;12.44%;33%;+0.07%;1.24
22/07/2025;6309.62;6306.6;6316.12;6281.71;16.5;13.04%;11.95%;30%;-0.17%;1.23
23/07/2025;6358.91;6326.9;6360.64;6317.49;15.37;12.55%;10.48%;23%;-0.49%;1.09
24/07/2025;6363.35;6368.6;6381.31;6360.57;15.39;12.19%;9.40%;20%;-0.36%;1.27
25/07/2025;6388.64;6370.01;6395.82;6368.53;14.93;11.79%;8.22%;15%;-0.40%;1.23
28/07/2025;6389.77;6397.69;6401.07;6375.79;15.03;11.58%;7.59%;12%;-0.21%;1.19
29/07/2025;6370.86;6405.62;6408.93;6363.92;15.98;12.52%;10.39%;24%;+0.94%;1.30
30/07/2025;6362.9;6381.23;6396.01;6337;15.48;12.98%;11.77%;30%;+0.46%;1.27
31/07/2025;6339.39;6427.02;6427.02;6328.13;16.72;13.17%;12.31%;34%;+0.18%;1.26
01/08/2025;6238.01;6287.28;6287.28;6212.69;20.38;15.69%;19.85%;65%;+2.53%;1.36
04/08/2025;6329.94;6271.71;6330.42;6271.71;17.52;13.41%;13.02%;39%;-2.29%;1.23
05/08/2025;6299.19;6336.63;6346;6289.41;17.85;14.06%;14.96%;48%;+0.65%;1.30
06/08/2025;6345.06;6309.3;6352.83;6301.11;16.77;13.18%;12.37%;35%;-0.87%;1.16
07/08/2025;6340;6374.32;6389.19;6310.32;16.57;13.17%;12.31%;34%;-0.02%;1.10
08/08/2025;6389.45;6355.22;6395.16;6355.22;15.15;11.95%;8.68%;17%;-1.22%;1.17
11/08/2025;6373.45;6392.28;6407.25;6364.06;16.25;12.59%;10.59%;25%;+0.64%;1.16
12/08/2025;6445.76;6395.17;6446.53;6385.76;14.73;11.47%;7.25%;11%;-1.12%;1.24
13/08/2025;6466.58;6462.67;6479.61;6445.02;14.49;11.21%;6.47%;9%;-0.26%;1.06
14/08/2025;6468.54;6453.46;6473.92;6441.07;14.83;11.21%;6.48%;9%;unch;1.26
15/08/2025;6449.8;6477.38;6477.38;6441.85;15.09;11.43%;7.13%;11%;+0.22%;1.23
18/08/2025;6449.15;6445.02;6455.35;6437.7;14.99;11.55%;7.49%;13%;+0.12%;1.15
19/08/2025;6411.37;6446.24;6456.48;6400.22;15.57;12.26%;9.62%;22%;+0.71%;1.33
20/08/2025;6395.78;6406.62;6407.22;6343.86;15.69;12.71%;10.94%;28%;+0.44%;1.22
21/08/2025;6370.17;6380.83;6393.65;6352.71;16.6;13.46%;13.18%;41%;+0.75%;1.15
22/08/2025;6466.91;6384.59;6478.89;6384.59;14.22;11.18%;6.40%;8%;-2.27%;1.18
25/08/2025;6439.32;6454.69;6466.89;6438.06;14.79;11.58%;7.60%;14%;+0.40%;1.21
26/08/2025;6465.94;6435.49;6468.22;6429.21;14.62;11.34%;6.88%;10%;-0.24%;1.26
27/08/2025;6481.4;6462.26;6487.06;6458.67;14.85;11.31%;6.78%;10%;-0.03%;1.13
28/08/2025;6501.86;6483.84;6508.12;6466.96;14.43;11.09%;6.12%;7%;-0.22%;1.19
29/08/2025;6460.26;6489.28;6489.64;6444.57;15.36;11.91%;8.57%;20%;+0.82%;1.19
02/09/2025;6415.54;6379.25;6416.54;6360.58;17.17;13.73%;13.98%;45%;+1.12%;1.18
03/09/2025;6448.26;6445.82;6453.67;6416.17;16.35;13.03%;11.91%;33%;-0.69%;1.15
04/09/2025;6502.08;6456.6;6502.52;6445.98;15.3;12.08%;9.06%;21%;-0.95%;1.22
05/09/2025;6481.5;6527.31;6532.65;6444.37;15.18;11.89%;8.52%;19%;-0.18%;1.15
08/09/2025;6495.15;6498.09;6508.67;6483.29;15.11;11.89%;8.49%;19%;-0.01%;1.14
09/09/2025;6512.61;6503.33;6518.23;6483.08;15.04;11.70%;7.94%;17%;-0.19%;1.27
10/09/2025;6532.04;6550.29;6555.97;6516.34;15.35;11.98%;8.77%;22%;+0.28%;1.26
11/09/2025;6587.47;6554.41;6592.89;6546.45;14.71;11.38%;6.99%;11%;-0.60%;1.12
12/09/2025;6584.29;6590.66;6600.21;6579.49;14.76;11.39%;7.01%;12%;+0.01%;1.29
15/09/2025;6615.28;6606.27;6619.62;6602.07;15.69;12.06%;9.03%;23%;+0.68%;1.31
16/09/2025;6606.76;6624.13;6625.74;6600.11;16.36;12.80%;11.22%;34%;+0.74%;1.24
17/09/2025;6600.35;6604.87;6624.39;6552.01;15.72;12.32%;9.80%;27%;-0.48%;1.33
18/09/2025;6631.96;6626.85;6656.8;6612.05;15.7;12.28%;9.68%;26%;-0.04%;1.12
19/09/2025;6664.36;6653.94;6671.82;6630.31;15.45;12.06%;9.00%;23%;-0.23%;1.25
22/09/2025;6693.75;6654.28;6698.88;6648.07;16.1;12.64%;10.74%;31%;+0.59%;1.12
23/09/2025;6656.92;6693.78;6699.21;6645.58;16.64;13.27%;12.63%;43%;+0.63%;1.34
24/09/2025;6637.97;6669.79;6671.9;6621.76;16.18;13.21%;12.45%;41%;-0.06%;1.30
25/09/2025;6604.72;6602.35;6619;6569.22;16.74;13.43%;13.10%;45%;+0.22%;1.28
26/09/2025;6643.7;6615.38;6647.66;6605.02;15.29;12.19%;9.40%;24%;-1.24%;1.17
29/09/2025;6661.21;6661.58;6677.27;6644.49;16.12;12.62%;10.69%;29%;+0.43%;1.10
30/09/2025;6688.46;6656.19;6691.17;6641;16.28;12.69%;10.89%;31%;+0.06%;1.15
01/10/2025;6711.2;6664.92;6718.48;6656.41;16.29;12.89%;11.48%;34%;+0.20%;1.11
02/10/2025;6715.35;6731.31;6731.94;6693.23;16.63;13.18%;12.35%;41%;+0.29%;1.14
03/10/2025;6715.79;6722.14;6750.87;6706.09;16.65;13.04%;11.92%;37%;-0.15%;1.30
06/10/2025;6740.28;6736.2;6749.52;6717.78;16.37;12.95%;11.65%;35%;-0.09%;1.19
07/10/2025;6714.59;6746.14;6754.38;6700.12;17.24;13.72%;13.95%;50%;+0.77%;1.22
08/10/2025;6753.72;6723.87;6755.64;6718.09;16.3;13.08%;12.04%;38%;-0.64%;1.15
09/10/2025;6735.11;6760.5;6764.15;6716.17;16.43;13.10%;12.11%;39%;+0.02%;1.22
10/10/2025;6552.51;6740.49;6762.4;6551.36;21.66;18.90%;29.41%;86%;+5.80%;1.36
13/10/2025;6654.72;6622.53;6668.68;6621.17;19.03;14.92%;17.54%;64%;-3.98%;1.30
14/10/2025;6644.31;6602.49;6680.7;6555.41;20.81;16.31%;21.69%;77%;+1.39%;1.31
15/10/2025;6671.06;6688.27;6722.62;6612.43;20.64;16.48%;22.19%;77%;+0.17%;1.13
16/10/2025;6629.07;6689.02;6709.34;6593.99;25.31;19.40%;30.88%;88%;+2.91%;1.25
17/10/2025;6664.01;6617.07;6678.88;6603.81;20.78;16.34%;21.78%;76%;-3.05%;1.29
20/10/2025;6735.13;6690.05;6744.35;6690.05;18.23;14.07%;15.00%;56%;-2.27%;1.29
21/10/2025;6735.35;6736.75;6752.16;6722.59;17.87;14.01%;14.83%;55%;-0.06%;1.36
22/10/2025;6699.4;6741.34;6741.34;6655.69;18.6;14.66%;16.76%;62%;+0.65%;1.29
23/10/2025;6738.44;6703.65;6749.53;6701.21;17.3;13.68%;13.84%;51%;-0.98%;1.16
24/10/2025;6791.69;6772.07;6807.11;6772.07;16.37;12.86%;11.40%;34%;-0.82%;1.17
27/10/2025;6875.16;6853.19;6877.28;6844.28;15.79;12.94%;11.63%;36%;+0.08%;1.15
28/10/2025;6890.89;6897.74;6911.3;6870.73;16.42;13.54%;13.43%;49%;+0.60%;1.02
29/10/2025;6890.59;6910.72;6920.34;6853.35;16.92;13.94%;14.62%;55%;+0.40%;1.05
30/10/2025;6822.34;6860.5;6880.75;6820.69;16.91;14.59%;16.56%;62%;+0.65%;1.24
31/10/2025;6840.2;6879.17;6879.17;6814.26;17.44;14.24%;15.50%;59%;-0.36%;1.10
03/11/2025;6851.97;6882.32;6882.32;6820.83;17.17;13.98%;14.72%;57%;-0.26%;1.18
04/11/2025;6771.55;6774.28;6820.15;6766.71;19;15.38%;18.90%;71%;+1.40%;1.28
05/11/2025;6796.29;6769.77;6829.78;6763.11;18.01;14.61%;16.61%;64%;-0.77%;1.12
06/11/2025;6720.32;6787.59;6796.68;6707.51;19.5;16.08%;21.00%;75%;+1.47%;1.21
07/11/2025;6728.8;6696.18;6729.24;6631.44;19.08;15.60%;19.58%;72%;-0.48%;1.21
10/11/2025;6832.43;6785.36;6841.32;6770.56;17.6;14.09%;15.06%;58%;-1.52%;1.06
11/11/2025;6846.61;6815.64;6855.13;6806.87;17.28;14.09%;15.05%;57%;unch;1.15
12/11/2025;6850.92;6867.77;6869.91;6829.62;17.51;14.40%;16.00%;59%;+0.32%;1.04
13/11/2025;6737.49;6826.47;6827.26;6724.72;20;16.46%;22.13%;78%;+2.06%;1.11
14/11/2025;6734.11;6666.15;6774.31;6646.87;19.83;16.36%;21.84%;77%;-0.09%;1.26
17/11/2025;6672.41;6708.11;6754.5;6639.52;22.38;18.20%;27.31%;82%;+1.83%;1.29
18/11/2025;6617.32;6634.16;6666.63;6575.76;24.69;19.75%;31.94%;88%;+1.55%;1.13
19/11/2025;6642.16;6621.22;6689.14;6603.5;23.66;19.11%;30.03%;86%;-0.64%;1.25
20/11/2025;6538.76;6737.93;6770.35;6534.05;26.42;21.24%;36.39%;91%;+2.13%;1.22
21/11/2025;6602.99;6561.78;6660.05;6521.92;23.43;19.17%;30.22%;86%;-2.07%;1.23
24/11/2025;6705.12;6636.54;6715.46;6631.11;20.52;16.40%;21.96%;75%;-2.77%;1.16
25/11/2025;6765.88;6697.03;6776.17;6663.13;18.56;14.74%;17.02%;62%;-1.66%;1.11
26/11/2025;6812.61;6793.55;6831.44;6783.87;17.19;13.84%;14.33%;49%;-0.90%;1.02
28/11/2025;6849.09;6822.52;6850.83;6819.75;16.35;13.16%;12.30%;36%;-0.69%;1.01
01/12/2025;6812.63;6812.3;6843.65;6799.94;17.24;14.07%;14.99%;53%;+0.90%;1.21
02/12/2025;6829.37;6833.1;6851.16;6806.71;16.59;13.66%;13.78%;45%;-0.41%;1.12
03/12/2025;6849.72;6813.71;6862.38;6810.43;16.08;13.26%;12.58%;39%;-0.40%;1.22
04/12/2025;6857.12;6863.77;6865.93;6827.12;15.78;12.72%;10.97%;25%;-0.54%;1.11
05/12/2025;6870.4;6866.32;6895.78;6858.29;15.41;12.40%;10.02%;20%;-0.32%;1.14
08/12/2025;6846.51;6872.29;6876.96;6827.21;16.66;13.33%;10.45%;40%;+0.94%;1.06
09/12/2025;6840.51;6842.8;6864.92;6838.27;16.93;13.48%;10.89%;42%;+0.14%;1.26
10/12/2025;6886.68;6833.49;6900.67;6825.83;15.77;12.67%;8.42%;23%;-0.81%;1.21
11/12/2025;6901;6859.85;6903.46;6834.25;14.85;11.96%;6.05%;13%;-0.71%;1.18
12/12/2025;6827.41;6888.96;6899.03;6801.79;15.74;12.47%;7.59%;19%;+0.50%;1.25
15/12/2025;6816.51;6861.59;6861.59;6802.76;16.5;12.97%;8.36%;29%;+0.50%;1.21
16/12/2025;6800.26;6804.01;6818.45;6759.74;16.48;12.95%;8.32%;28%;-0.01%;1.16
17/12/2025;6721.43;6801.98;6809.47;6720.95;17.62;14.50%;13.09%;58%;+1.54%;1.14
18/12/2025;6774.76;6778.06;6815.98;6758.5;16.87;13.30%;9.39%;40%;-1.20%;1.18
19/12/2025;6834.5;6796.37;6840.02;6793.68;14.91;11.65%;4.29%;9%;-1.65%;1.27
22/12/2025;6878.49;6864.1;6882.03;6856.97;14.08;10.77%;1.55%;0%;-0.89%;1.20
23/12/2025;6909.79;6873.79;6910.88;6872.7;14;10.69%;1.32%;0%;-0.07%;1.11
24/12/2025;6932.05;6904.91;6937.32;6904.91;13.47;10.74%;0.13%;0%;+0.04%;0.99
26/12/2025;6929.94;6937.77;6945.77;6921.6;13.6;10.65%;0.00%;0%;-0.09%;1.22
29/12/2025;6905.74;6900.12;6919.25;6888.77;14.2;11.40%;2.33%;6%;+0.74%;1.15
30/12/2025;6896.24;6899.86;6913.25;6893.59;14.33;11.77%;3.51%;11%;+0.38%;1.26
31/12/2025;6845.5;6898.82;6900.81;6845.1;14.95;12.45%;5.65%;19%;+0.68%;1.30
02/01/2026;6858.47;6887.01;6894.87;6824.31;14.51;12.09%;4.52%;16%;-0.36%;1.16
05/01/2026;6902.05;6892.19;6920.38;6891.57;14.9;12.10%;4.53%;17%;unch;1.27
06/01/2026;6944.82;6908.03;6948.69;6904.02;14.75;12.00%;4.24%;15%;-0.09%;1.11
07/01/2026;6920.93;6945.07;6965.69;6919.19;15.38;12.66%;6.30%;24%;+0.66%;1.14
08/01/2026;6921.46;6914.11;6931.28;6900.82;15.45;12.51%;5.81%;22%;-0.16%;1.15
09/01/2026;6966.28;6933.73;6978.36;6918.01;14.49;11.50%;2.66%;8%;-1.01%;1.09
12/01/2026;6977.27;6935.8;6986.33;6934.07;15.12;12.01%;4.27%;16%;+0.51%;1.23
13/01/2026;6963.74;6980.14;6985.83;6938.77;15.98;12.67%;6.33%;26%;+0.66%;1.27
14/01/2026;6926.6;6936.82;6941.3;6885.89;16.75;13.51%;8.97%;46%;+0.84%;1.13
15/01/2026;6944.47;6969.46;6979.34;6937.93;15.84;12.59%;6.08%;24%;-0.92%;1.23
16/01/2026;6940.01;6957.54;6967.3;6925.76;15.86;12.56%;5.99%;24%;-0.03%;1.20
20/01/2026;6796.86;6847.93;6871.17;6789.05;20.09;16.14%;17.19%;73%;+2.30%;1.29
21/01/2026;6875.62;6819.43;6910.39;6805.01;16.9;13.87%;10.08%;52%;-2.27%;1.10
22/01/2026;6913.35;6914.44;6934.75;6893.62;15.64;12.65%;6.27%;26%;-1.22%;1.23
23/01/2026;6915.61;6909.71;6932.96;6895.73;16.09;12.75%;6.58%;29%;+0.10%;1.27
26/01/2026;6950.23;6928.89;6964.66;6921.6;16.15;12.64%;6.23%;25%;-0.11%;1.27
27/01/2026;6978.6;6966.27;6988.82;6959.18;16.35;12.92%;7.11%;31%;+0.28%;1.15
28/01/2026;6978.03;7002;7002.24;6963.46;16.35;13.20%;7.98%;38%;+0.28%;1.15
29/01/2026;6969.01;6987.55;6991.99;6871.07;16.88;13.35%;8.44%;43%;+0.15%;1.17
30/01/2026;6939.03;6946.15;6964.09;6894.04;17.44;14.28%;11.36%;58%;+0.93%;1.23
02/02/2026;6976.44;6916.64;6991.92;6916.64;16.34;13.18%;7.94%;37%;-1.09%;1.26
03/02/2026;6917.81;6985.45;6991.87;6862.18;18;14.60%;12.37%;61%;+1.42%;1.20
04/02/2026;6882.72;6924.5;6936.09;6840.75;18.64;15.82%;16.17%;71%;+1.21%;1.13
05/02/2026;6798.4;6837.39;6856.49;6780.13;21.77;18.14%;23.45%;80%;+2.32%;1.20
06/02/2026;6932.3;6830.62;6944.89;6830.62;17.76;14.63%;12.46%;61%;-3.51%;1.18
09/02/2026;6964.82;6917.26;6980.1;6906.82;17.36;14.02%;10.54%;53%;-0.61%;1.10
